year,title,inventor_estimates,location_estimates
-2000000,Bipedality,"['Auman', 'Plato', 'Suppose', 'Bears', 'Bipedality', 'Raymond Arthur Dart', 'Dart', 'Donald Johanson', 'Lucy', 'Lucy Afars', 'Australopithecines', 'Africa', 'Lucy Bipedality']","['Latin', 'Greek', 'Plato', 'Long', 'South African', 'South African Australopithecus', 'Greek American', 'Australopithecus']"
-500000,Stone Tools,"['Homo', 'Louis Seymour Bazett Leakey', 'Mary', 'Homo Latin', 'Homwo', 'Homo Hominids']","['English', 'Tanzania', 'Homo', 'Homo Homo']"
-200000,Fire,"['Marie Eugene Dubois', 'Dubois', 'Davidson Black', 'Homo', 'Dubois Homo', 'Earth', 'Earth Homo', 'Fire', 'Meat', 'Finally']","['Homo', 'Homo Homo', 'Homo Africa', 'Africa', 'Europe', 'Asia', 'Indonesian', 'Homo Indonesian', 'Java', 'Dutch', 'Greek', 'Peking', 'Canadian', 'Greek Homo', 'Dubois', 'Asian', 'Indonesian Homo', 'Homo Asia', 'Peking Homo']"
-20000,Religion,"['Neander Valley', 'Paul Broca', 'Homo', 'Neanderthals']","['Homo', 'Germany', 'German', 'Neanderthal', 'Homo Homo', 'Neanderthal French', 'Homo Africa', 'Eurasia']"
-20000,Art,"['Modern', 'Homo', 'Tierra', 'Fuego', 'Marcellino', 'Altamira Cave', 'Bulls']","['Neanderthal', 'Homo', 'Australia', 'Asia', 'North America', 'Asia Japanese', 'South America', 'Spanish', 'Sautuola', 'Spain']"
-12000,Bows and Arrows,['Bows'],[]
-12000,Oil Lamps,['Wood'],[]
-8000,Animal Domestication,['Dogs'],"['Kirkuk', 'Iraq', 'Middle East']"
-7000,Agriculture,"['Herding', 'Agriculture', 'Adam', 'Abel', 'Abel Agriculture', 'Jeast', 'Farmers', 'Jarmo', 'Robert J. Braidwood']","['Iraq', 'Eden', 'Cain', 'Cain Iragq', 'American']"
-6000,Pottery,"['Pottery', 'Artisans']",[]
-6000,Linen,['Textiles'],['Flax']
-6000,Rafts,['Water'],['Human']
-4000,Sickles,"['Irrigation Agriculture', 'Rainfall', 'Whereas']","['Latin', 'Tigris', 'Iraq', 'Sumeria', 'Egypt']"
-4000,Scales,[],"['Trade', 'Egypt']"
-4000,Copper,"['Titus Lucretius Carus', 'Christian Jiir-', 'Stene Age', 'Silver', 'Copper']","['Homo', 'Roman', 'Danish', 'Paleolithic', 'Neolithic', 'Latin', 'Middle Stone', 'New Stone', 'Greek', 'Cyprus']"
-3600,Sundials,['Egypl'],['Egypt']
-3500,Bronze,"['Bronze', 'Increasingly', 'Homer', 'Iliad', 'Egypt', 'Aristotle', 'Hippocrates', 'Rome']","['Copper', 'Persian', 'Middle East', 'Greek', 'Trojan', 'Middle Eastern', 'European', 'Crete', 'Chinese', 'Phoenician', 'Greeks', 'Greeks Greeks', 'Greek Greek', 'Greece', 'Mediterranean', 'Greek Europe']"
-3500,Wheeled Carts,[],['Sumeria']
-3500,River Boats,"['Water', 'Egypt', 'Moses', 'Egypt Egypt', 'Sinai']","['Tigris', 'Sumeria', 'Greek', 'Sumerian', 'Egyptian', 'Canaan', 'Lebanon', 'Egypt']"
-3100,Writing,"['Sumeria', 'Egypt']","['Greek', 'Egyptian', 'Greek Greeks']"
-3100,Ploughs,[],['Sumeria']
-3000,Nations,['Manetho'],"['Egypt', 'Egypt Egypt', 'Menes', 'Egyptian', 'Egypt Egypt Egyptian']"
-2800,Candles,[],['Oil']
-2650,Calendars,['Certain'],"['Egyptian', 'Greeks', 'Egyptians', 'Egyptian Egyptian']"
-2500,Stone Monuments,"['Djoser', 'Dynasty', 'Imhotep', 'Larger']","['Thanks', 'Egyptian', 'Egyptian Egyptian', 'Greek', 'Egyptian Egyptian Cheops', 'Greeks', 'Egypt']"
-2500,Literature,"['Homer', 'Odyssey', 'George Smith', 'Gilgamesh', 'Noah', 'Flood', 'Gilgamesh LE']","['Ashurbanipal', 'Assyrian', 'Sumerian', 'Tigris']"
-2340,Glass,['Glass'],"['Glass', 'Egyptian']"
-2000,Empires,"['Sumeria', 'Egypt', 'Euphrates', 'Egypt Sumeria', 'Euphrates Semitic', 'Arabic', 'Egypt Elam', 'Sargon']","['Tigris', 'Sumerian', 'Egyptian', 'Tigris Sumeria', 'Tigris Akkadians', 'Akkadian', 'Sumerian Sumerian', 'Akkadian Sumerian', 'Tigris Sargon', 'Agade', 'Akkadian Sumeria', 'Assyria', 'Tigris Egyptian']"
-1800,Horses,"['Ammal', 'Armies']","['Iran', 'Mitanni', 'Iraq', 'Turkey']"
-1800,Mathematics and Astronomy,"['Again', 'Moon', 'Venus', 'Mars', 'Jupiter', 'Babylonians', 'Astrology']","['Canaan', 'Egypt', 'India', 'Greek', 'Saturn', 'Moon', 'Greeks']"
-1775,Fermentation,[],['Fruit']
-1550,Law,"['Hammurabi', 'Babylonian Empire', 'Hammurabi Hammurabi', 'Shamash', 'Moses', 'Mount Sinai', 'Susa', 'Jacques Jean Marie']","['Babylon', 'Akkadian', 'Jewish', 'God', 'Sippar', 'Babylon Elam', 'Susa', 'French', 'Morgan', 'Europe']"
-1500,Medicine,[],['Papyrus']
-1375,Alphabet,[],"['Egyptian', 'Babylonian', 'Chinese', 'Chinese Babylonians', 'Egyptian Babylonian', 'Egyptians']"
-1200,Monotheism,"['Aton', 'Akhenaton', 'Aton Akhenaton', 'Jews', 'Akhenaton Monotheism', 'Tyre']","['Every', 'Greeks', 'Phoenician', 'Egyptian', 'Egypt', 'Earth', 'Phoenician Egyptian', 'Egypt Abraham', 'Abraham', 'Egypt China', 'Indigo', 'Tyre', 'Phoenicia', 'Tvrian', 'Greek']"
-1000,Sea Navigation,"['Boats', 'Jason', 'Homer']","['Odysseus', 'Phoenician', 'Egypt', 'Europe', 'Greece']"
-700,Iron,"['Gold', 'Iron', 'Charcoal', 'Iron Arches']","['Iron', 'Asia', 'Small']"
-700,Aqueducts,"['Water', 'Wells', 'Nineveh', 'Jerusalem']","['Latin', 'Sennacherib', 'Assyria', 'Hezekiah']"
-640,Zoos,['Homo'],['Assyrian']
-640,Libraries,[],"['Books', 'Latin', 'Assyrian']"
-640,Sundials,[],"['Greek', 'Egypt', 'Ashurbanipal']"
-585,Coins,"['Gold', 'Gyges', 'Ardvs']","['Asia Minor', 'Lydia', 'Lydian']"
-580,Eclipses,['Moon'],"['Babylonian', 'Greek']"
-580,Elements,"['Moon', 'Thales', 'Water']","['Thales', 'England', 'Greek', 'Thales Babylonian']"
-510,Irrational Numbers,['Pythagoras'],"['Greek', 'Pythagorean', 'Egypt', 'China']"
-500,Maps,[],[]
-500,Atlantic Ocean,[],"['Phoenician', 'Greek', 'Hecataeus']"
-500,Ocean.,"['Hecataeus', 'Europe', 'Herodotus']","['Africa', 'Asia', 'England', 'Africa Greek']"
-500,Dissection,[],"['Greek', 'Greek Alcmaeon']"
-500,Abacus,[],['Egypt']
-480,Venus,['Venus'],"['Greeks', 'Hesperos', 'Greek', 'Phosphoros', 'Greek Greek', 'Babylonia', 'Aphrodite', 'Greek Romans']"
-480,Dreams,['Dreams'],"['Zeus', 'Homer', 'New Testaments', 'Greek']"
-420,Atoms,"['Leucippus', 'Leucippus Leucippus']","['Greek', 'Leucippus']"
-400,Epilepsy,[],"['Greek', 'Hippocrates']"
-387,Catapults,"['Persian Empire', 'Syracuse', 'Lhe', 'Neverthe']","['Greek', 'Greeks', 'Greek Sicily', 'Dionysius', 'Greek French']"
-387,Advanced Schools,"['Plato', 'Apollo Lyceus', 'Aris', 'Lucius Cornelius S', 'Heracleides Ponticus', 'Venus', 'Venus Logic Everyone', 'Organon']","['Greek', 'Plato', 'Athens', 'Greek Aristotle', 'Athens Aristotle', 'Asia', 'Roman', 'Reme', 'Greek Pythagoras', 'Greek Greeks', 'Aristotle']"
-387,Spherical Earth,[],"['Anyone', 'Pythagoras', 'Aristotle']"
-387,Five Elements,['Aristotle'],"['Aristotle', 'Aristotle Greek', 'Earth', 'Earth Latin']"
-387,Animal Classification,['Aristotle'],['Aristotle']
-312,Star Maps,"['Hecataeus', 'Eudoxus', 'Eudoxus Bot']","['Greek', 'Eudoxus', 'Greek India', 'Aristotle']"
-300,Roads,"['Rome', 'Appius Claudius', 'Rome Rome']","['Gauls', 'Roman', 'Appian Way', 'Rome', 'Capua', 'Italy']"
-300,Geometry,"['Reason', 'Snobbery', 'Star Maps', 'Alexander III', 'Alexander', 'Ptolemy II', 'Euclid', 'Alexandria']","['Geometry', 'Egypt', 'Greeks', 'Greek', 'Greeks Greek', 'Eudoxus', 'Euclid', 'Alexandria', 'Egypt Alexandria', 'Greek Greek', 'Egypt Alexandria Greek', 'Athens', 'Alexandria Greeks', 'Greece']"
-280,Tides,"['Denmark', 'Herophilus', 'Pytheas']","['Greeks', 'Greek', 'Pytheas', 'British Isles', 'Thule', 'Norway', 'Iceland', 'Erasistratus']"
-280,Arteries,['Herophilus'],"['Greek', 'Greek Egyptian']"
-280,Size of Moon and Sun,"['Earth', 'Earth Aristarchus', 'Earth Aristarchus Aristarchus']","['Moon', 'Greek', 'Greece', 'Athenian', 'Greek Greek', 'Aristarchus']"
-270,Lighthouse,[],"['Rhodes', 'Macedonian', 'Rhiodes', 'Alexandria']"
-260,Water Clock,['Tt'],"['Egypt', 'China', 'Greek', 'Ctesibius', 'Rhodes', 'Greeks']"
-260,Lever,"['Archimedes', 'Archimedes Eureka']","['Greek', 'Eureka', 'Greeks']"
-260,Size of Earth,"['Earth', 'Syene', 'Eratosthenes', 'Syene Earth']","['Greek', 'Egypt', 'Syene', 'Aswan', 'Alexandria', 'Alexandria Alexandria', 'Syene Alexandria']"
-214,Chronology,"['Alexander', 'Babylon']","['Great', 'Era']"
-170,Great Wall,"['Shih Huang Ti', 'Shih Huang Ti Shih Huang Ti', 'History', 'Neverthel', 'Europt', 'Casy']","['China', 'China China', 'Europe', 'Europe China', 'Asia', 'Chinese']"
-134,Parchment,"['Egypt', 'Eumenes II', 'Hides', 'Hipparchus', 'Fir']","['Egyptian', 'Asia', 'Pergamum', 'Asia Minor', 'China', 'Pergamese', 'Pergamum Greek', 'Earth']"
-46,Star Map,"['Hipparchus', 'Hipparchus Eratosthenes', 'Earth', 'Eudoxus', 'Star Maps', 'Hipparchus Hipparchus', 'Hipparchus Hipparchus Hippar', 'Glass', 'Waterpower', 'Gaius Julius Caesar', 'Sosireally', 'Roman']","['Human', 'Roman', 'Romans', 'Greek', 'Greeks', 'Julian', 'Greek Caesar', 'Julian Egyptian']"
50,Earth’s Zones,['Pomponius Mela'],"['European', 'Greece', 'Egypt', 'Greece Roman', 'North', 'South', 'North South']"
50,Pharmacology,"['Pedanius Dioscorides', 'De Materia Medica']","['Greek', 'Mediterranean']"
105,Steam Power,"['Alexandria', 'Roman', 'Hero']","['Greek', 'Hero']"
140,Paper,['Tsai Lun'],"['Chinese', 'Europe', 'English']"
180,Geocentric Universe,"['Claudius', 'Ptolemy']","['Almagest', 'Hipparchus']"
300,Spinal Cord,[],"['Greek', 'Galen', 'Rome', 'Rome Euclid', 'Greek Diophantine']"
300,Alchemy,"['Alexander', 'Ptolemy']","['Great', 'Greek', 'Egyptian', 'Ptolemaic Egypt', 'Euclid', 'Egypt', 'Egypt Zosimus']"
400,Stirrups,"['Stolid', 'Cavalry', 'Saddles']","['Greeks', 'Romans', 'Greek', 'Roman', 'India', 'Chinese']"
537,Wheelbarrows,"['Str', 'Muslims', 'Arab', 'Arabs', 'Porcelain', 'Johann Gute']","['China', 'Chinese', 'Europe', 'Middle Ages', 'Middle Ages East', 'Greek', 'Middle Ages Europe', 'Middle Ages Chinese', 'Europe China', 'Europe China Chinese', 'Western', 'European', 'Exploration', 'Portuguese', 'European Middle Ages', 'Ptolemy', 'Europe Middle Ages']"
552,Domes,"['Empire', 'Hagia Sophia']","['Romans', 'Justinian']"
600,Silk,['Empire'],"['Chinese', 'China', 'Asia', 'Rome', 'Roman', 'East', 'Rome Justinian', 'Persian']"
673,Moldboard Plows,[],"['Europe', 'Slav', 'Mediterranean']"
673,Greek Fire,"['Persian Empire', 'Arabia', 'Arab']","['North', 'European', 'Callinicus', 'Egyptian']"
750,Porcelain,['Porcelain'],"['Chinese', 'Europe', 'India']"
810,Acetic Acid,"['Arabs', 'Whereas Greek', 'Arabs Aristotle', 'Ptolemy', 'Arabic', 'Jabir', 'Geber', 'Acids', 'Strong']","['Greek', 'Greek Europe', 'Euclid', 'Arabian', 'Hayyan', 'Europeans', 'Arabic']"
850,Zero,"['Arab', 'Muhammad', 'Arabic']","['Greeks', 'Indian', 'English', 'Europe']"
870,Coffee,"['Alcohol', 'Coffee', 'Arabia']","['Ethiopia', 'Kalffe', 'Europe']"
874,Arctic Circle,['Ottar'],"['European', 'Europeans', 'Scandinavian']"
900,Iceland,"['Ingolfur Arnarson', 'Europe']","['Ireland', 'Irishman', 'Brendan', 'Scottish', 'Irish', 'Iceland', 'Iceland Norway', 'Europe']"
982,Horse Collars,"['Iceland', 'Again', 'Erik']","['Europe', 'Greenland', 'Vikings', 'Iceland', 'Greenland Europe']"
982,Vinland,"['Bjarne Herjulfson', 'Leif Eriksson']","['Greenland', 'Newfoundland', 'Vinland']"
1025,Internal,[],"['North', 'Europeans']"
1050,Optics,['Alhazen'],['Alhazen']
1054,Crossbows,[],['France']
1066,New Star,"['Hipparchus', 'Venus', 'Dark Age']","['European', 'Chinese', 'Taurus', 'Chinese Europe', 'Europe']"
1071,Comet,[],"['Greek', 'Normandy', 'England']"
1137,Forks,[],"['Europe', 'Venice', 'Venetian']"
1180,Flying Buttresses,"['E Pyramid', 'Yaris']","['Roman', 'St. Denis', 'French']"
1180,Windmills,"['Crusaders', 'Windmills']","['Persia', 'France', 'Europe', 'Middle East']"
1194,Magnetic Compasses,"['Alexander Neckam', 'Europe']","['Asia', 'Magnesia', 'Magnesian', 'English', 'Thales', 'Chinese', 'Chinese Chinese', 'English European', 'Europeans', 'French', 'Europeans Europeans']"
1194,Spitzbergen,['Icelandic Vikings'],"['Svalbard', 'Spitzbergen', 'Iceland', 'Norway', 'Europe']"
1228,Arabic Numerals,"['Leonardo Fibonacci', 'Fibonacci', 'Liber Abaci', 'Arabic', 'Roman']","['Italian', 'North Africa', 'Arabic', 'Abacus', 'Europe']"
1241,Coal,"['Earth', 'Coal']","['China', 'Greece', 'Columbian', 'China England', 'London', 'Newecastle', 'England']"
1241,Rudders,"['Arabs', 'S']",['European']
1241,Eyeglasses,"['Roger Bacon', 'Both China']","['English', 'Europe']"
1252,Gunpowder,['Roger Bacon'],"['Chinese', 'Chinese Iri', 'Serious']"
1269,Planetary Tables,"['Ptolemy', 'Alfonso X', 'God', 'Ptolemy Ptolemy']",['Castile']
1291,Magnetic Poles,"['Pelerin', 'Maricourt', 'Peregrinus']","['French', 'Maricourt', 'Petrus', 'Italian']"
1298,Mirrors,['Water'],"['Venice', 'Venetian']"
1298,The Far East,"['Nicolo', 'Maffeo Polo', 'Kublai Khan', 'Nicolo Marco Polo', 'Marco']","['Europe', 'China', 'Venetian', 'China China', 'Europe Venice', 'Genoa', 'China East', 'European']"
1298,Spinning Wheels,[],"['India', 'Europe']"
1300,Longbows,"['Tk', 'Edward']","['England', 'English', 'Falkirk', 'Scottish']"
1300,Sulfuric Acid,"['Arabian', 'Sulfuric']",[]
1304,Distilled Liquor,['Arnau'],"['Spanish', 'Villanova']"
1312,Giotto’s Comet,"['Giotto', 'Till', 'Giotto Giotto']","['Europe', 'Italian', 'Bondone', 'Bethlehem']"
1316,Canary Islands,['Morocco'],"['Morocco', 'Africa', 'Mauritania', 'European', 'Genoese', 'Europe']"
1316,Dissection,['Arabic'],"['Italy', 'Italian', 'Luzzi', 'Bologna', 'Greek']"
1316,Neverthe,[],[]
1403,Mechanical Clocks,['Edward I1I'],"['Milan', 'Italy', 'French', 'Genoa', 'Italian', 'France']"
2,Quarantine,[],"['Venice', 'French']"
1418,Indian Ocean,"['Cheng Ho', 'Cheng Ho Mecca']","['China', 'China Indian', 'Indonesian', 'Chinese', 'India', 'Ceylon', 'Ceylonese', 'Ceylon China', 'Egypt']"
1418,After Emperor Yung-,[],"['China', 'China Chinese']"
1427,Madeira,"['Europe', 'Prince Henry', 'Marco Polo', 'Africa', 'Herodotus', 'Henry', 'Prince Henry Henry', 'Henry Madeira']","['Portugal', 'Eurasian', 'China', 'China Portugal', 'China Portugal Portugal', 'Middle East', 'China Portugal Turks', 'Africa', 'Portugal Europe', 'China Portugal European', 'Chinese', 'Portugal Portuguese', 'European', 'China China', 'Prince', 'Portuguese']"
1436,Azores,"['Diogo', 'Madeira']","['Azores', 'Portugal', 'Portuguese', 'Sevilha', 'Portugal American']"
1439,Perspective,['Leon Battista Alberti'],"['Renaissance', 'Italian']"
1450,Artillery,"['Charles', 'Jean', 'Gaspard Bureau', 'Charles VIl']",['VII']
1451,Harquebuses,[],"['Spain', 'French', 'Dutch']"
1454,Concave Lenses,"['Johannes Gutenberg', 'Arabic', 'Latin', 'Aristotle', 'Nicolaus Copernicus', 'Brahe', 'Johannes Kepler', 'Galileo Galilei', 'Milky Way', 'Isaac Newton', 'Newton', 'Tycho', 'Kepler', 'Galileo', 'Galileo Francis Bacon']","['German', 'Cusa', 'Explo', 'Renaissance', 'Copernicus']"
1472,Printing,"['Johannes Gutenberg', 'Gutenberg', 'Gutenberg Bibles']","['Chinese', 'Chinese Europe', 'China', 'German', 'Europe']"
1487,Position of Comets,"['Johann Miiller', 'King', 'Konigsberg']","['Regiomontanus', 'Mountain', 'German']"
1492,Cape of Good Hope,"['Bartholomeu Diaz', 'John II']","['Portuguese', 'African', 'Portugal', 'Storms']"
1492,New World,"['Roger Bacon', 'Eratosthenes', 'Marco Polo', 'Christopher Columbus', 'Portugal', 'Columbus', 'Africa', 'Columbus Granada', 'Torquemada', 'Columbus Columbus', 'Columbus Leif Eriksson', 'Columbus Columbus Europeans']","['Portuguese', 'Africa', 'Europe', 'Asia', 'Europe Asia', 'Ptole', 'Asia Asia', 'Italian', 'Europe Asia Eu', 'Portuguese Portuguese', 'Spain', 'Ferdinand', 'Isabella', 'Spain Granada', 'Spain Spain', 'England', 'France', 'Poland', 'Spanish', 'Spain Indies', 'Asia Asia American', 'New World', 'Siberian', 'European']"
1495,Magnetic Declination,['Columbus'],"['Columbus', 'Columbu', 'European']"
1495,Syphilis,"['Girolamo Fracastoro', 'Fracastoro', 'Syphilis']","['Italian', 'Naples', 'French', 'Italian French', 'French European', 'America', 'Columbus', 'American']"
1495,India,"['Vasco', 'Prince', 'Da Gama']","['Portuguese', 'Lisbon', 'Diaz', 'Africa', 'Calicut', 'India', 'Portuguese Italian', 'Venice']"
1495,America,"['Vespucius', 'Marco Polo']","['Italian', 'Vespucci', 'Americus', 'South America', 'Asia']"
1504,Asia. In,"['Columbus', 'Ve', 'Martin Walds', 'Americu']","['Asia', 'German', 'Asia America', 'America']"
1513,Watches,['Peter Henlein'],"['Nor', 'German']"
1513,South Sea,"['Vasco Nufiez', 'Marco Polo', 'Balboa', 'Panama', 'Balboa Balboa', 'Balboa Vespucius']","['Columbus', 'Panama', 'Spanish', 'Balboa', 'Asia', 'Asians', 'Christian', 'Panama American']"
1519,Florida,"['Puerto Rico', 'Juan Ponce', 'Ponce', 'Leon']","['Puerto Rico', 'Spain', 'Puerto Rico Leon', 'American', 'Florida', 'United States', 'Europeans']"
1531,Mexico,"['Francisco Fernandez', 'Westward', 'Aztec Empire', 'Hernan Cortés', 'Montezuma II', 'Magellan', 'Magellan Juan Sebastian']","['Spanish', 'American', 'Cérdoba', 'Cuba', 'Yucatan', 'Mexico', 'Mexico Aztecs', 'Cortés', 'Mexico Spain', 'non-Christian', 'English', 'Portuguese', 'Spain', 'South America', 'Magellan', 'Guam', 'Elcano']"
1531,Peru,"['Peru', 'Peru Brazil']","['Atahualpa', 'Mexico', 'Peru', 'Span', 'United States', 'Portuguese']"
1531,Cubic Equations,"['Niccolo Tartaglia', 'Geronimo Cardano', 'Cardano', 'Tartaglia']","['Italian', 'Italian Tartaglia', 'Tartaglia']"
1531,Comets’ Tails,"['Girolamo Fracastoro', 'Peter Bennewitz', 'Petrus Apianus']","['Regiomontanus', 'German', 'Latin']"
1542,Mississippi River,"['Cortés', 'Baja California', 'Hernando', 'Charles V', 'De Soto']","['American', 'Mexico', 'Spanish', 'Soto', 'Florida', 'Spanish United States']"
1543,Amazon River,"['Pizarro', 'Peru', 'Francisco', 'Orellana']","['Orellana', 'Greek', 'European', 'South America']"
1543,Heliocentric System,"['Moon', 'Nicolaus Copernicus', 'Aristarchus', 'Earth', 'Venus', 'Copernicus', 'Copernicus Aristarchus', 'Copernicus Copernicus', 'De Revolutionibus Orbitm Coelestium', 'Pope Paul II1', 'Copernicus Copernicus Copernicus', 'Ptolemy']","['Aristarchus', 'Hipparchus', 'Ptolemy', 'Polish', 'Greek', 'Aristarchus Aristarchean', 'Nevertheless', 'Church', 'Index']"
1545,New Anatomy,"['Copernicus', 'Andreas Vesalius', 'Vesalius', 'De Corporis Humani Fabrica', 'Jan Stephan']","['Greek', 'Flemish', 'Greek Greeks', 'Galen', 'Flemish Calcar', 'Titian']"
4,Negative Numbers,['Cardano'],['Cardano']
1551,Surgery,"['Ambroise Paré', 'Henry', 'Paré']","['French', 'France', 'Latin Paré']"
1551,Trigonometric Tables,"['Georg Joachim Iserin', 'Rhiticus', 'Rhiticus Copernicus']","['German', 'Greeks']"
1552,Planetary Tables,"['Copernicus', 'Erasmus Reinhold', 'Albert', 'Tabulae Prutenicae', 'Ptolemy']","['German', 'Albert', 'Lutheranism', 'Prussia']"
1552,Eustachian Tube,"['Vesalius', 'Bartolommeo Eustachio', 'Vesalius Eustachio', 'Eustachio']","['Italian', 'Greek', 'Alcmaeon', 'Dissection']"
1555,Northeastern Passage,"['Passage', 'Passa', 'Richard Chan', 'Ivan IV']","['Portugal', 'Spain', 'South', 'European', 'Asia', 'North Amer', 'France', 'Verrazano', 'Cartier', 'British', 'Asia Asia', 'Russian', 'Arkhangelsk']"
1556,Homologies,"['Cats', 'Sheep', 'God', 'Pierre Belon', 'Charles', 'Charles V. Francis', 'Belon']","['Anyone', 'French', 'France', 'Spain']"
1556,Mineralogy,"['Anotl', 'Georg Bauer', 'Georgius']","['Mining', 'Swiss', 'Latin', 'German']"
1556,Agricola. (Agricole,"['Agricola', 'D']",['German']
1560,Tobacco,"['Tobacco', 'Jean Nicot', 'John Hawkins']","['European', 'Europe', 'Spain', 'French', 'Portugal', 'France', 'England']"
1565,Scientific Societies,[],"['Athens', 'Baghdad', 'Tartaglia', 'Cardano', 'Italian', 'Giambattista', 'Porta', 'Nature']"
1568,Musket,['Muskets'],['Latin']
1572,World Maps,"['Gerhard Kremer', 'Gerardus Mercator', 'Mercator', 'Atlas']","['Flemish', 'Greenland', 'Africa', 'Africa Greenland', 'Mercator', 'Greek Titan', 'Greek']"
1576,Supernova,"['Tycho Brahe', 'Venus', 'Tycho', 'Anythin', 'Tycho Nova Stella']","['Cassiopeia', 'Europe', 'Danish', 'Greeks', 'Earth']"
1577,Northwest Passage,"['Martin Frobisher', 'Baffin Island', 'Frobisher']","['English', 'Northwest', 'North America', 'North America Greenland', 'Greenland', 'Inuit', 'Greenland Northwest']"
1577,Distance of Comets,"['Tycho', 'Denmark', 'Tycho Tycho']","['Danish', 'Hven', 'Sweden', 'Greek']"
1581,Drake Strait,"['Francis Drake', 'Fuego', 'Drake', 'Fuego Drake Passage', 'Drake Strait', 'Drake San Francisco Bay', 'Magellan']","['English', 'Spanish', 'England', 'Spain', 'Spanish Spain', 'Isthmus', 'Magellan', 'Spanish Tierra', 'Magellan Tierra']"
1582,Pendulum,"['Galileo Galilei', 'Galileo', 'Galileo Ivan IV', 'Yermak Timofievich', 'Yermak', 'Sibir']","['Italian', 'Pisa', 'Europe', 'Russia', 'Swedes', 'Poles', 'Germans', 'Russia Russia', 'European', 'Russian', 'English', 'Asia', 'Russians', 'Asian']"
1583,Gregorian Calendar,"['Julius Caesar', 'Church', 'Easter', 'Christoph Clavius', 'Pope Gregory', 'Great Britain']","['Julian', 'Julian Julian', 'Bavarian', 'Grego', 'Russia']"
1586,Hydrostatics,['Simon Stevin'],['Dutch']
1589,Decimal Fractions,[],['Stevin']
1589,Falling Bodies,"['Aristotle', 'Simon Stevin', 'Galileo', 'Tower', 'Galileo Galileo', 'Galileo Aristotle', 'Galileo Galilea', 'Peter Peregrinus']",['Pisa']
1589,Cryptanalysis,"['Henry I11', 'Henry', 'Henry Navarre', 'Philip II', 'Francois Viete', 'Henry Philip II', 'Pope Sixtus V']","['Simple', 'France', 'Navarre', 'Huguenot', 'French', 'Spain', 'French Latin', 'Navarre French']"
1590,Knitting Machines,"['William Lee', 'Lee', 'Lee Lee']","['English', 'England', 'France']"
1591,Microscopes,"['Dewdrops', 'Zacharias Janssen', 'Janssen']","['Netherlands', 'Dutch']"
1592,Algebraic Symbols,[],"['Roman', 'Arabic']"
1596,Thermometer,[],"['Galileo', 'Greek']"
1596,Archaeology,"['Vesuvius', 'Domenico Fontana']","['Pompeii', 'Herculaneum', 'Mt', 'Italy', 'Italian']"
1596,East Indies,['Philip II'],"['Dutch Republic', 'Spanish', 'Dutch', 'Spanish Spanish', 'Portuguese', 'antiSpanish', 'Dutch Sumatra']"
1597,Pi,"['Greeks', 'Ludolf']","['Greek', 'Archimedes', 'Dutch', 'Ceulen', 'Germany']"
1603,Medieval Alchemy,"['Andreas L', 'Libavius', 'Libavius Libavius', 'Earth', 'Magnet', 'William Gilbert', 'De Magnete', 'Earth Robert Norman', 'Gilbert']","['German', 'Alchemnia', 'English']"
1603,Vein Valves,"['Galen', 'Girolamo Fabrici', 'Muscular', 'Fabricius']","['Galen', 'Italian', 'Fabricius']"
1608,Jamestown,"['John Smith', 'James River', 'James', 'Jamestown']","['English', 'Newfoundland', 'English Virginia', 'England', 'English United States']"
1608,Telescope,"['Lippershey', 'Rumors']","['Lippershey', 'Dutch', 'Greek', 'Netherlands', 'Spain', 'Nassau']"
1609,Quebec,"['Samuel', 'Henry', 'Nova Scotia', 'Cape Cod', 'St.', 'James Lown']","['French', 'France', 'American', 'French Canada', 'French Quebd', 'English']"
1609,Planetary Orbits,"['Copernicus', 'Tycho Brs', 'Kepler', 'Tycho', 'Kepler Astrononiia Nova', 'Kepler No', 'Kepler First Law']","['Plato', 'Greeks', 'Greck', 'Mars', 'Greek']"
1609,The Milky Way,"['Milky Way', 'Milky Way Galileo', 'Milky Way Democritus', 'Galileo']",['Earth']
1610,Moon,"['Galileo', 'Earth', 'Aristotle']","['Latin', 'Earth']"
1610,Jupiter,"['Galileo', 'Jupiter', 'Galileo Jupiter', 'Jupiter Kepler', 'Jupiter Earth', 'Aristotle', 'Cosimo IT']","['Ptol', 'Tuscan']"
1610,"Florence), Ga","['Simoi M', 'Galilco', 'Jupiter']","['Ger', 'Europa']"
1610,Ganvmede,"['Jupiter', 'Galileo', 'Saturn', 'Moon']",['Greek']
1612,Sunspots,[],['Galileo']
1614,Andromeda Nebula,['Simon Marius'],['Andromeda']
1614,Logarithms,"['Nine', 'John N', 'Napier']","['Scottish', 'Greek']"
1614,Metabolism,"['Santorio Santorio', 'Sanctorius']",['Italian']
1620,Baffin Bay,"['William Baffin', 'Baffin Bay', 'Baffin', 'Tierra', 'Fuego Drake', 'Jakob Le Maire', 'Fuego', 'Cape Horn', 'Willem Corneliszoon Schouten']","['English', 'Greenland', 'Northwest', 'Tierra', 'Fuego', 'Dutch', 'Tierra Dutch', 'Hoorn']"
1620,Stagecoaches,[],[]
1621,Scientific Method,"['Francis Bacon', 'Novum Organum', 'Aristotle', 'Bacon']","['English', 'Logic']"
1622,Refraction,"['Willebrord Snel', 'Snel']","['Dutch', 'Piolemy']"
